"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",88.2580651666667,88.2581,88.2580157894964,15000,0.95,88.2265,88.2914,NA,NA,NA,NA,NA,NA,NA
"b1[1] red",0.337500406,0.33759,0.337175891180353,15000,0.95,0.305336,0.370462,NA,NA,NA,NA,NA,NA,NA
"b1[2] white",-0.337500406,-0.33759,-0.337175891180353,15000,0.95,-0.370462,-0.305336,NA,NA,NA,NA,NA,NA,NA
"b2[1] eu",0.667162484733333,0.6672815,0.667699900744828,15000,0.95,0.634296,0.69902,NA,NA,NA,NA,NA,NA,NA
"b2[2] non-eu",-0.667162484733333,-0.6672815,-0.667699900744828,15000,0.95,-0.69902,-0.634296,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,1] red eu",-0.167960762733333,-0.1680445,-0.165763998935185,14669.6,0.95,-0.200144,-0.134248,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,1] white eu",0.167960762733333,0.1680445,0.165763998935185,14669.6,0.95,0.134248,0.200144,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,2] red non-eu",0.167960762733333,0.1680445,0.165763998935185,14669.6,0.95,0.134248,0.200144,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,2] white non-eu",-0.167960762733333,-0.1680445,-0.165763998935185,14669.6,0.95,-0.200144,-0.134248,NA,NA,NA,NA,NA,NA,NA
"m[1,1] red eu",89.0947678533333,89.095,89.0978446298496,14011.1,0.95,89.0395,89.1517,NA,NA,NA,NA,NA,NA,NA
"m[2,1] white eu",88.7556883266667,88.7561,88.7590351464722,15000,0.95,88.6565,88.853,NA,NA,NA,NA,NA,NA,NA
"m[1,2] red non-eu",88.0963642266667,88.0965,88.0986057076659,15000,0.95,88.0637,88.1299,NA,NA,NA,NA,NA,NA,NA
"m[2,2] white non-eu",87.0854415066667,87.0851,87.0847033961227,15000,0.95,87.0296,87.14,NA,NA,NA,NA,NA,NA,NA
"ySigma",3.363556384,3.36352,3.36310711583565,15000,0.95,3.34528,3.38021,NA,NA,NA,NA,NA,NA,NA
"a1SD",2.20389884691067,1.457545,0.700142127110182,596.3,0.95,0.00102438,6.58639,NA,NA,NA,NA,NA,NA,NA
"a2SD",2.17120577746867,1.49833,0.862494217987882,688.9,0.95,0.00122536,6.29478,NA,NA,NA,NA,NA,NA,NA
"a1a2SD",0.96513525612,0.7044065,0.432229117390973,192.7,0.95,0.104675,2.52176,NA,NA,NA,NA,NA,NA,NA
"red.v.white",0.675000812,0.67518,0.674351782360706,15000,0.95,0.610672,0.740924,0,100,-1,1,0,100,0
"eu.v.non-eu",1.33432496946667,1.334563,1.33539980148966,15000,0.95,1.268592,1.39804,0,100,-1,1,0,0,100
"red.v.white.x.eu.v.non-eu",-0.671843050933333,-0.672178,-0.663055995740741,14669.6,0.95,-0.800576,-0.536992,0,0,-1,1,0,100,0
