"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",87.5714158133333,87.5712,87.5647422205676,13618.5,0.95,87.498,87.6428,NA,NA,NA,NA,NA,NA,NA
"b[1] Argentina",-2.017054888,-2.017205,-2.00755374807849,15000,0.95,-2.16125,-1.8844,NA,NA,NA,NA,NA,NA,NA
"b[2] Australia",-0.213809555071333,-0.2138135,-0.21515543784574,15000,0.95,-0.3557,-0.0648815,NA,NA,NA,NA,NA,NA,NA
"b[3] Chile",-1.25709748866667,-1.257075,-1.25652850832475,15000,0.95,-1.36764,-1.14215,NA,NA,NA,NA,NA,NA,NA
"b[4] France",1.673758086,1.67353,1.67175156077214,14170,0.95,1.58729,1.76408,NA,NA,NA,NA,NA,NA,NA
"b[5] Italy",1.45302749933333,1.45299,1.44211792975653,15000,0.95,1.34482,1.55881,NA,NA,NA,NA,NA,NA,NA
"b[6] Portugal",0.419136130216873,0.417852,0.368256068761863,15000,0.95,-0.0206124,0.844108,NA,NA,NA,NA,NA,NA,NA
"b[7] Spain",-0.614326560733333,-0.61447,-0.617955913258206,15000,0.95,-0.786128,-0.442433,NA,NA,NA,NA,NA,NA,NA
"b[8] US",0.556366786133333,0.5564635,0.558419246761145,15000,0.95,0.47777,0.634137,NA,NA,NA,NA,NA,NA,NA
"m[1] Argentina",85.55436094,85.554,85.5447166000119,15000,0.95,85.4139,85.6839,NA,NA,NA,NA,NA,NA,NA
"m[2] Australia",87.35760632,87.3579,87.3536189970891,15628.8,0.95,87.2098,87.5024,NA,NA,NA,NA,NA,NA,NA
"m[3] Chile",86.3143183866667,86.3148,86.3252282572791,15371.6,0.95,86.2112,86.4102,NA,NA,NA,NA,NA,NA,NA
"m[4] France",89.2451737266667,89.2451,89.2464637536226,15000,0.95,89.1859,89.3044,NA,NA,NA,NA,NA,NA,NA
"m[5] Italy",89.0244429266667,89.0241,89.0217684952471,15000,0.95,88.9344,89.1163,NA,NA,NA,NA,NA,NA,NA
"m[6] Portugal",87.99055182,87.99085,87.9254590943376,15000,0.95,87.5156,88.5007,NA,NA,NA,NA,NA,NA,NA
"m[7] Spain",86.9570890133333,86.9573,86.9681593531086,15000,0.95,86.7739,87.1357,NA,NA,NA,NA,NA,NA,NA
"m[8] US",88.1277823066667,88.1278,88.1278140543978,15000,0.95,88.0965,88.1592,NA,NA,NA,NA,NA,NA,NA
"aSigma",1.56843599633333,1.464675,1.2841497940655,1053.2,0.95,0.811615,2.59094,NA,NA,NA,NA,NA,NA,NA
"ySigma",3.31668932733333,3.316705,3.31662863116032,15000,0.95,3.29936,3.33398,NA,NA,NA,NA,NA,NA,NA
"US.v.ItalyFranceAustraliaChileArgentinaSpainPortugal",0.635847754264923,0.635958128571429,0.638193313608717,15000,0.95,0.546022857142857,0.724727285714286,0,100,-1,1,0,100,0
"Italy.v.USFranceAustraliaChileArgentinaSpainPortugal",1.66060285506492,1.66055984285714,1.64813440831092,15000,0.95,1.53693728571429,1.78149657142857,0,100,-1,1,0,0,100
"France.v.USItalyAustraliaChileArgentinaSpainPortugal",1.91286638268397,1.91260607142857,1.91057258544066,14170,0.95,1.81404571428571,2.01608983714286,0,100,-1,1,0,0,100
"Australia.v.USItalyFranceChileArgentinaSpainPortugal",-0.24435377854041,-0.244357428571429,-0.245892370846667,15000,0.95,-0.406513857142857,-0.0741503571428571,0,0.186666666666667,-1,1,0,100,0
"Chile.v.USItalyFranceAustraliaArgentinaSpainPortugal",-1.43668284550651,-1.43665707142857,-1.43603323738426,15000,0.95,-1.56301728571429,-1.30531357142857,0,0,-1,1,100,0,0
"Argentina.v.USItalyFranceAustraliaChileSpainPortugal",-2.30520558760174,-2.30537735714286,-2.29434798311964,15000,0.95,-2.47000042857143,-2.15360085714286,0,0,-1,1,100,0,0
"Spain.v.USItalyFranceAustraliaChileArgentinaPortugal",-0.702087499296982,-0.702250428571428,-0.706234821704056,15000,0.95,-0.898431357142857,-0.505636714285714,0,0,-1,1,0.193333333333333,99.8066666666667,0
"Portugal.v.USItalyFranceAustraliaChileArgentinaSpain",0.479012718931826,0.477544642857143,0.420863838512419,15000,0.95,-0.0235586857142857,0.964694285714286,0,96.9866666666667,-1,1,0,98.1266666666667,1.87333333333333
